frame,shoulder_angle,shoulder_distance,shoulder_ratio,right_ear_angle,right_ear_distance,left_ear_angle,left_ear_distance,right_nose_eye_angle,right_nose_eye_distance,left_nose_eye_angle,left_nose_eye_distance,nose_angle,nose_distance,eyes_angle,eyes_distance
openpose/output2/Trial 1_000000058224_keypoints.json,-144.78352058812573,81.59817351509776,0.9424352148001078,-1,-1,87.06247731391247,37.28999868597476,-1,-1,121.79639990088714,48.445405365214945,-87.07156962550917,113.84166243076388,-1,-1
openpose/output2/Trial 1_000000055309_keypoints.json,-162.05847997076103,76.15742718868592,0.9053918736473405,-1,-1,76.7059094043817,34.172740788529154,-1,-1,99.37558456067487,35.83671871139996,-115.27007003715156,114.91136645693496,-1,-1
openpose/output2/Trial 1_000000064455_keypoints.json,-169.06213995910267,61.82005102715462,1.3649492439368631,-1,-1,87.560757240789,45.06583349944843,-1,-1,105.62673815869238,50.80386502029156,-107.31748152695788,125.14690639404559,-1,-1
openpose/output2/Trial 1_000000058239_keypoints.json,-146.9904414685003,86.4497440192855,1.0419308117798194,-1,-1,123.56480465135311,28.29005496636592,-1,-1,118.8059713851241,44.76543282489291,-84.2010813428599,116.18456102684203,-1,-1
openpose/output2/Trial 1_000000058245_keypoints.json,-153.97061202701292,93.80580955356665,1.2742737564359485,-1,-1,120.22067258000713,27.214655243085435,-1,-1,117.75473447031818,42.06682337662302,-87.18043761177469,119.67688077903772,-1,-1
openpose/output2/Trial 1_000000058222_keypoints.json,-145.55024571561,83.15076664108389,0.9131793369868163,-80.36577829455311,11.89070346951776,112.33996224722078,35.99566029398541,-125.94798902239886,26.638248234446714,128.67444132222124,50.142867538663914,-84.00819891476098,112.25627364650943,-75.50459169482643,62.70814428764415
openpose/output2/Trial 1_000000058266_keypoints.json,-158.4812024547298,90.61727055037574,1.3035752890309784,-1,-1,119.7788604173159,31.5813575705669,-1,-1,125.21516640905803,40.84983490786714,-83.76660084660207,108.48337109898455,-1,-1
openpose/output2/Trial 1_000000055384_keypoints.json,-133.2569942228624,91.43232063663268,1.0722864948043884,-1,-1,73.37303311572245,40.77383536043668,-1,-1,90.24268122395692,42.96938543893774,-114.05822871084592,120.06921764132554,-1,-1
openpose/output2/Trial 1_000000055579_keypoints.json,-154.80592474930185,73.55191448901924,0.9236295754464628,-1,-1,73.31699207230537,40.898513542670486,-1,-1,92.23161443446101,49.02518153969453,-114.1716292938995,124.53374753053889,-1,-1
openpose/output2/Trial 1_000000058259_keypoints.json,-156.77580076588166,89.60259958840483,1.2293744960259445,-1,-1,126.24447955305514,36.535576593233074,-1,-1,134.9356005566879,47.18314399232003,-83.00361474134014,112.59641108401284,-1,-1
